"datetime","hlz_btc","rw_btc","hlz_eth","rw_eth","hlz_ltc","rw_ltc"
"2016-01-01 23:59:59",0.0329043172773099,0.0329687075885212,0.0843998141608497,0.0852184533068899,0.0338098413348327,0.0337606123643781
"2016-01-02 23:59:59",0.0326640375874373,0.0327227069566752,0.0841272826832132,0.0849404031807735,0.0335248081782209,0.0334743771084566
"2016-01-03 23:59:59",0.0324196525511388,0.0324778539296878,0.083852900678771,0.084661955454515,0.0334322414267057,0.0333865857600028
"2016-01-04 23:59:59",0.0321932575154168,0.03225912945321,0.0835787296026927,0.0843857789841689,0.0331503505504607,0.0331065140052763
"2016-01-05 23:59:59",0.0319650416317571,0.032036233797564,0.0833129950217507,0.0841156532684651,0.032842177895597,0.0327988027848802
"2016-01-06 23:59:59",0.0318506722540452,0.0319005909663903,0.0830559580200038,0.0838588708336874,0.0326077334335773,0.0325649475844298
"2016-01-07 23:59:59",0.0316264893259537,0.0316789070808149,0.0827899927356282,0.0835898204430187,0.0323153917860129,0.0322729726169651
"2016-01-08 23:59:59",0.0314078985227954,0.0314637834540201,0.0825902215792675,0.0833926196587828,0.0320466189912655,0.0320045389178888
"2016-01-09 23:59:59",0.0311920668458558,0.0312489534173281,0.0823324129200185,0.0831308006375095,0.0317735941210673,0.0317321223289297
"2016-01-10 23:59:59",0.0309805929083065,0.03103811895185,0.0820731943164615,0.0828689849493529,0.0315135511595709,0.031472785177091
"2016-01-11 23:59:59",0.0307745491938636,0.0308347774530409,0.0818666857901761,0.0826559803988525,0.0312854980090383,0.0312456750271225
"2016-01-12 23:59:59",0.0307225899270543,0.0307597359510306,0.0816120454596406,0.0823989391421049,0.0310781862441007,0.0310390443767404
"2016-01-13 23:59:59",0.0305293615346395,0.030562383055381,0.0818702769804972,0.0826590742709483,0.0309706210006631,0.0309328420135776
"2016-01-14 23:59:59",0.030356858680417,0.0303991495917457,0.082082082024995,0.0828686080504411,0.0308723459481344,0.0308352673271629
"2016-01-15 23:59:59",0.0301673086017957,0.0302069114220713,0.0819994665168199,0.0827814077545386,0.0306456330858516,0.030608773942562
"2016-01-16 23:59:59",0.0300025498373863,0.0300512769262747,0.0817634901245666,0.0825430704353596,0.0305258194293005,0.0304896811498115
"2016-01-17 23:59:59",0.0298177977800062,0.0298686953802126,0.0819369471428466,0.0827147531011146,0.0303041207842883,0.030267782369058
"2016-01-18 23:59:59",0.0296542995331506,0.029698081170013,0.0846591661597701,0.0853985172375329,0.0300951322004384,0.0300595804932172
"2016-01-19 23:59:59",0.029475123632175,0.0295195099829867,0.0878961018799628,0.0886198218005491,0.029882218357333,0.0298472922773928
"2016-01-20 23:59:59",0.0292991889954113,0.0293443787492464,0.0878996592994619,0.0886178257983376,0.029798357224505,0.0297653609302674
"2016-01-21 23:59:59",0.0291963709802522,0.0292559359207573,0.0876805896519248,0.0883966054494612,0.02973092849705,0.0296965370484308
"2016-01-22 23:59:59",0.029038156098895,0.0290928191775153,0.087728315427,0.0884329474880415,0.0295262327893003,0.0294923573953953
"2016-01-23 23:59:59",0.0289401931538903,0.028983852869492,0.0874831092367928,0.0881876443395207,0.0293229109286866,0.0292894500718764
"2016-01-24 23:59:59",0.0287874408350762,0.0288287067447867,0.0873998220786723,0.0880984285525353,0.0291221662880935,0.0290889146054338
"2016-01-25 23:59:59",0.0286312903839724,0.0286750567666481,0.0871616321965745,0.0878569917719648,0.028925427759761,0.0288923729302227
"2016-01-26 23:59:59",0.0284726615391819,0.0285174741108602,0.0869316181121707,0.0876239313385643,0.0287326269185262,0.0286998180741221
"2016-01-27 23:59:59",0.0283222409833683,0.0283697692339147,0.0867152869983206,0.0874052313803473,0.0288705257357544,0.028838594110477
"2016-01-28 23:59:59",0.028172409623664,0.0282175846680945,0.0864712521749257,0.0871592610191379,0.0286825239017031,0.0286508130468662
"2016-01-29 23:59:59",0.0280210672941788,0.0280671790858938,0.0867365048180029,0.0874174619128802,0.0285236857355112,0.0284920545794466
"2016-01-30 23:59:59",0.0278792653949016,0.0279285863335539,0.0865457225529976,0.0872248013872766,0.0283442255827408,0.0283128440583982
"2016-01-31 23:59:59",0.0277346228422272,0.0277822573311308,0.0863609878049065,0.0870357219242841,0.0281768155190463,0.0281455913329163
"2016-02-01 23:59:59",0.0275911502281015,0.0276375363362515,0.0863161934714277,0.0869905280049042,0.028006722742427,0.0279756719113852
"2016-02-02 23:59:59",0.027459009887853,0.0275019081233898,0.0860978538022387,0.0867719695376707,0.0278444737364935,0.0278136890725404
"2016-02-03 23:59:59",0.0273272577349463,0.0273670399476462,0.0858700206177306,0.0865428227165913,0.0276790196563144,0.0276483160246547
"2016-02-04 23:59:59",0.0272101158709313,0.0272547917423692,0.0856738825539463,0.0863452583883703,0.0275138731943866,0.0274833311761591
"2016-02-05 23:59:59",0.027074722311768,0.0271203565778731,0.0856434405903791,0.0863135146580445,0.0274227531608432,0.027392202129916
"2016-02-06 23:59:59",0.0269503889871988,0.0269989392692491,0.0854131383923012,0.0860814351674982,0.0272793236849307,0.0272490785153044
"2016-02-07 23:59:59",0.0268238083424859,0.026869954237948,0.0852328324627613,0.0859006570344543,0.0271343601867659,0.0271044254381942
"2016-02-08 23:59:59",0.0266933159415444,0.0267396420630637,0.0854664067161026,0.0861236152429609,0.0269870468000463,0.0269572825848154
"2016-02-09 23:59:59",0.0265852705998573,0.0266358218146649,0.085277856410283,0.0859347397521031,0.0268472474145779,0.0268176433138203
"2016-02-10 23:59:59",0.0264586100702305,0.0265096027271336,0.0850534551623899,0.0857086736795484,0.0266976794308428,0.0266682402877334
"2016-02-11 23:59:59",0.0263448480354346,0.026392489978605,0.084881084782202,0.0855358745800207,0.0265645815960649,0.0265353294196698
"2016-02-12 23:59:59",0.0262214525254701,0.0262690936075966,0.0846623576635083,0.0853150876968638,0.0264228504316335,0.0263937858849134
"2016-02-13 23:59:59",0.0261509953116928,0.0262056869309458,0.0844461503705056,0.0850975320874431,0.0262820203663655,0.0262531190655146
"2016-02-14 23:59:59",0.0260539351672869,0.0261132337499712,0.0843774001153159,0.0850240938136602,0.0261461657254431,0.026117405944175
"2016-02-15 23:59:59",0.0260011559116608,0.0260678747930988,0.0841624545705664,0.0848074046568251,0.0260084488668352,0.025979842668124
"2016-02-16 23:59:59",0.025898216465356,0.0259612977314789,0.0839805682187852,0.084623051334655,0.0258776039663951,0.0258491915348997
"2016-02-17 23:59:59",0.0257948776008791,0.0258611519738011,0.0838008653987249,0.0844419892592215,0.0257526292163094,0.0257244012816842
"2016-02-18 23:59:59",0.025728691374042,0.0258007381260563,0.0836096025033849,0.0842490074189625,0.0256210653502639,0.0255929759935997
"2016-02-19 23:59:59",0.0256155993611118,0.0256875654566062,0.083473557820193,0.084110439241065,0.0254977791122212,0.0254698371097698
"2016-02-20 23:59:59",0.0255415643204275,0.0256186941742422,0.0833326662947584,0.083968705484951,0.0253701865571439,0.0253423783904895
"2016-02-21 23:59:59",0.0258794983678712,0.0259364076556792,0.0831652466574662,0.083799358303061,0.0252684802792047,0.0253603932237011
"2016-02-22 23:59:59",0.0257827683486457,0.0258427815503345,0.0834350384879777,0.0840715323297668,0.0252681081755413,0.0253648630107355
"2016-02-23 23:59:59",0.0257095020615053,0.0257744427207605,0.0832298114296725,0.0838648993055542,0.0252661195256023,0.0253508950791637
"2016-02-24 23:59:59",0.0256682368171499,0.0257259242668756,0.0834295363188194,0.0840576100012748,0.0252664249505695,0.0253659814888012
"2016-02-25 23:59:59",0.0255748745772749,0.0256361426784803,0.0833934430287227,0.0840207407038766,0.025264064892928,0.0250482231861268
"2016-02-26 23:59:59",0.0255297031635384,0.0255827728023528,0.083938751914419,0.084556291905167,0.0249737284084058,0.0250488836448733
"2016-02-27 23:59:59",0.0254470038965335,0.0255048428798183,0.0840046173806703,0.0846189414736361,0.0249596559178354,0.0250491038684935
"2016-02-28 23:59:59",0.0253546136346347,0.0254089947439243,0.0838037033473848,0.0844164650407741,0.0249711258877776,0.0250441650771386
"2016-02-29 23:59:59",0.0252533477066649,0.0253089121594663,0.0836033511210325,0.0842145888108504,0.024952483037068,0.0250376785838365
"2016-03-01 23:59:59",0.0252636949736344,0.025330629922396,0.0834197416159876,0.0840289337441893,0.0250305837137889,0.0251035645791284
"2016-03-02 23:59:59",0.0251699170845463,0.025234085235116,0.0833116192799248,0.0839169417715931,0.0250128209814064,0.0250620636188367
"2016-03-03 23:59:59",0.0250709010216878,0.0251345430142624,0.0832938050397162,0.0838938122259275,0.0249741825596098,0.0250625845053408
"2016-03-04 23:59:59",0.0249754071800045,0.0250406350064964,0.0851727087564608,0.0857532037863368,0.0261808654960707,0.0225888181698002
"2016-03-05 23:59:59",0.0249860342439552,0.0250406716153781,0.0860842606860356,0.0866592146276042,0.0226731857670414,0.0227099329872594
"2016-03-06 23:59:59",0.0248909898935597,0.0249467752584388,0.0860407430632078,0.0866138882518298,0.0237600178412608,0.0238008820563955
"2016-03-07 23:59:59",0.0247990048259947,0.0249375961951714,0.0858434962878733,0.0864150450837582,0.0237899229323995,0.0238987266686228
"2016-03-08 23:59:59",0.0247842350711399,0.0249296029007074,0.0856459299993165,0.0862160859195458,0.0240581763242237,0.0241419618772411
